No.,Compound,RT_adj,from_adj,to_adj
52,Acetic acid,2.14600016276046,1.6460001627604601,2.64600016276046
53,Triethylamine,2.1495000203451,1.6495000203451,2.6495000203451
54,"Hexane, 3-methyl-",2.17400004069015,1.6740000406901498,2.67400004069015
55,1-Penten-3-ol,2.17400004069015,1.6740000406901498,2.67400004069015
56,7,2.1886858622233505,1.6886858622233505,2.6886858622233505
57,2-Pentanone,2.19150009155278,1.69150009155278,2.69150009155278
58,Ethyl vinyl ketone,2.20550003051762,1.7055000305176198,2.70550003051762
59,"Pentandione<2,3->",2.22649993896489,1.7264999389648898,2.72649993896489
60,Pentanal,2.23000005086267,1.73000005086267,2.73000005086267
61,Heptane,2.23000005086267,1.73000005086267,2.73000005086267
62,Ethyl furan<2->,2.294974058069638,1.7949740580696378,2.794974058069638
63,"2-Butanone, 3-hydroxy-",2.3816062241917,1.8816062241917,2.8816062241917
64,"2-Propanone, 1-hydroxy-",2.4249223072527357,1.9249223072527357,2.9249223072527357
65,"1-Pentene, 2,4,4-trimethyl-",2.4249223072527357,1.9249223072527357,2.9249223072527357
66,Ethoxy ethanol<2->,2.4682383903137604,1.9682383903137604,2.9682383903137604
67,"2-Propenoic acid, 2-methyl-, methyl ester",2.4898963144597017,1.9898963144597017,2.9898963144597017
68,"Cyclohexane, methyl-",2.5115542386056338,2.0115542386056338,3.0115542386056338
69,11,2.552834873087278,2.052834873087278,3.052834873087278
70,155,2.633197528908019,2.133197528908019,3.133197528908019
71,"1,3-Diazine",2.663160411934662,2.163160411934662,3.163160411934662
72,Buten-1-ol<3-methyl-3->,2.6848185708497563,2.1848185708497563,3.1848185708497563
73,"Butanenitrile, 2-methyl-",2.7064764949956883,2.2064764949956883,3.2064764949956883
74,"Butanenitrile, 3-methyl-",2.814766585263692,2.314766585263692,3.314766585263692
75,Propanoic acid,2.8797405924706596,2.3797405924706596,3.3797405924706596
76,"1-Butanol, 3-methyl-",2.9447148344467804,2.4447148344467804,3.4447148344467804
77,"3-Penten-2-one, (E)-",2.988030682738652,2.488030682738652,3.488030682738652
78,Methyl Isobutyl Ketone,3.009688841653748,2.509688841653748,3.509688841653748
79,2-Propenoic acid,3.074662848860714,2.574662848860714,3.574662848860714
80,"Disulfide, dimethyl",3.1179789319217406,2.6179789319217406,3.6179789319217406
81,"4-Penten-2-one, 4-methyl-",3.247926946335676,2.747926946335676,3.747926946335676
82,"Pentane, 2,3,3-trimethyl-",3.269585105250771,2.769585105250771,3.769585105250771
83,"Pentane, 2,2,3-trimethyl-",3.2912430293967025,2.7912430293967025,3.7912430293967025
84,"2-Penten-1-ol, (E)-",3.3129011883117956,2.8129011883117956,3.8129011883117956
85,46,3.3439886155939487,2.8439886155939487,3.8439886155939487
86,99,3.3439886155939487,2.8439886155939487,3.8439886155939487
87,Pyridine,3.346088156152816,2.846088156152816,3.846088156152816
88,Penten-1-al<2E->,3.3562170366036668,2.8562170366036668,3.8562170366036668
89,10 (DCSE),3.380797367198996,2.880797367198996,3.880797367198996
90,"Hexane, 2,3-dimethyl-",3.3995331196647043,2.8995331196647043,3.8995331196647043
91,Pyrrole,3.5078232099326985,3.0078232099326985,4.007823209932699
92,"Furan, tetrahydro-2,2,5,5-tetramethyl-",3.5078232099326985,3.0078232099326985,4.007823209932699
93,"2-Butenal, 2-methyl-",3.551139292993736,3.051139292993736,4.051139292993736
94,"Pentane, 2,3,4-trimethyl-",3.551139292993736,3.051139292993736,4.051139292993736
95,"1-Heptene, 4-methyl-",3.551139292993736,3.051139292993736,4.051139292993736
