Compound,CAS,inchikey,CID,Pretty Name,LaTeX,Notes,Aroma,Chemical Family,Health,Group,RI Lab,RI Lit,Source
o-Xylene,95-47-6,CTQNGGLPUBDAKN-UHFFFAOYSA-N,7237,o-Xylene,$\mathit{o}$-Xylene,NA,geranium,Hydrocarbon,NA,9-10min,893,894,NIST
"Octane, 4-methyl-",2216-34-4,DOGIHOCMZJUJNR-UHFFFAOYSA-N,NA,4-Methyl-octane,NA,NA,NA,NA,NA,NA,NA,NA,NA
Octen-3-ol<1->,3391-86-4,VSMOENVRRABVKN-UHFFFAOYSA-N,18827,1-Octen-3-ol,NA,7.04,"earthy, green, vegetative, mushroom",Aliphatic Alcohol,NA,16-17min,978,984,NIST
p-Cymen-8-ol,1197-01-9,XLPDVYGDNRIQFV-UHFFFAOYSA-N,NA,p-Cymen-8-ol,$p$-Cymen-8-ol,NA,"citrus, musty",NA,NA,NA,NA,1183,NIST
"Pentanal, 2-methyl-",123-15-9,FTZILAQGHINQQR-UHFFFAOYSA-N,NA,2-Methylpentanal,NA,NA,"ethereal, fruity, green",NA,NA,NA,NA,NA,NA
"Pentanoic acid, 2-ethylhexyl ester",5451-87-6,ZTWCNFGTSPQNPG-UHFFFAOYSA-N,223704,2-Ethylhexyl valerate,NA,2-Ethylhexyl pentanoate,NA,Ester,NA,DCSE,NA,NA,NA
Pentenol<2Z->,1576-95-0,NA,NA,(2Z)-Pentenol,$(2Z)$-Pentenol,NA,"green, plastic, rubber",NA,NA,NA,NA,769,NIST
Phellandrene<alpha->,99-83-2,OGLDWXZKYODSOB-UHFFFAOYSA-N,NA,α-Phellandrene,$\alpha$-Phellandrene,NA,"turpentine, mint, spice",NA,NA,NA,NA,1003,NIST
"Phenol, 2-methoxy-",90-05-1,LHGVFZTZFXWLCP-UHFFFAOYSA-N,460,o-Guaiacol,$\mathit{o}$-Guaiacol,11.00 o-Guaicol,"medicinal, smoky, vanilla, woody",Cyclic alcohol,"anesthetic, antibacterial, antiseptic",25-26min,NA,1087,Adams
"Phenol, 2-methoxy-4-(1-propenyl)-",97-54-1,BJIOGJUNALELMI-ONEGZZNKSA-N,853433,Isoeugenol,NA,NA,"clove, floral, woody",Cyclic alcohol,NA,NA,NA,1436.3,NIST
"Phenol, 4-ethyl-2-methoxy-",2785-89-9,CHWNEIVBYREQRF-UHFFFAOYSA-N,62465,4-Ethylguaiacol,NA,4-Ethylguaicol,"clove, smoky, spicy",Alcohol,NA,DCSE,NA,1286,NIST
"Phenol<2,6-dimethoxy->",91-10-1,KLIDCXVFHGNTTM-UHFFFAOYSA-N,7041,Syringol,NA,22.24 Methoxyeugenol,"meaty, roasted, smokey, medicinal",Cyclic alcohol,NA,32-33min,NA,1346,Adams
Phenylethyl acetate,103-45-7,DULCUDSUACXJJC-UHFFFAOYSA-N,NA,Phenylethyl acetate,NA,NA,"rose, honey, tobacco",NA,NA,NA,NA,1245,NIST
Pinene<alpha->,80-56-8,GRWFGVWFFZKLTI-UHFFFAOYSA-N,6654,α-Pinene,$\alpha$-Pinene,NA,"camphor, earthy, pine",Monoterpene Hydrocarbon,"anti bacterial, viral, etc",DCSE,933,933,NIST
"Propanoic acid, 2-methyl-, 2,2-dimethyl-1-(2-hydroxy-1-methylethyl)propyl ester",74367-33-2,YXISVHDWGVMPGJ-UHFFFAOYSA-N,156477,"(1-hydroxy-2,4,4-trimethylpentan-3-yl) 2-methylpropanoate",NA,pretty name is IUPAC name,NA,Aliphatic ester,NA,25-26min,NA,1389,NIST
Pyrethrone,22610-79-3,GBEJULSURQZDNX-PLNGDYQASA-N,NA,Phenylethyl acetate,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quinoline,91-22-5,LBUJPTNKIBCYBY-UHFFFAOYSA-N,NA,Quinoline,NA,NA,"medicinal, musty, tobacco, rubber, earthy",NA,NA,NA,NA,NA,NA
"Quinoline, 5-methyl-",7661-55-4,LMYVCXSKCQSIEQ-UHFFFAOYSA-N,NA,5-Methylquinoline,NA,NA,NA,NA,NA,NA,NA,NA,NA
Safrole,94-59-7,ZMQAAUBTXCXRIC-UHFFFAOYSA-N,NA,Safrole,NA,NA,"sweet, warm, spicy, woody, floral, sassafrass, anise",NA,NA,NA,NA,1291.4,NIST
Salicylate<2-ethylhexyl->,118-60-5,FMRHJJZUHUTGKE-UHFFFAOYSA-N,8364,2-Ethylhexyl-salicylate,NA,NA,"floral, sweet",Ester,NA,DCSE,1811,NA,NA
Styrene,100-42-5,PPBRXRYQALVLMV-UHFFFAOYSA-N,7501,Styrene,NA,NA,"balsamic, gasoline",Hydrocarbon,NA,NA,NA,895,NIST
Terpinen-4-ol,562-74-3,WRYLYDPHFGVWKC-UHFFFAOYSA-N,11230,4-Terpineol,NA,p-Menth-1-en-4-ol/4-Carvomenthol,"earthy, musty, woody, nutmeg",Oxygenated Monoterpene,"antiasthmatic, bacterial, etc",19-20min,1181,1175,NIST
Terpinene<alpha->,99-86-5,YHQGMYUVUMAZJR-UHFFFAOYSA-N,NA,α-Terpinene,$\alpha$-Terpinene,NA,"woody, lemon, herbal, citrus",NA,NA,NA,NA,1014,NIST
Terpinolene,586-62-9,MOYAFQVGZZPNRA-UHFFFAOYSA-N,NA,Terpinolene,NA,NA,"pine, plastic",NA,NA,NA,NA,1084,NIST
Tetradecanol<N->,112-72-1,AHISYUZBWDSPQL-UHFFFAOYSA-N,70737,Tetradecanol,NA,Myristyl alcohol,"coconut, fruity, waxy",Alcohol,NA,DCSE,NA,1676,NIST
Undecanal,112-44-7,KMPQYAYAQWNLME-UHFFFAOYSA-N,NA,Undecanal,NA,NA,"oily, pungent, sweet",NA,NA,NA,NA,1305,NIST
Undecanoic acid,112-37-8,ZDPHROOEEOARMN-UHFFFAOYSA-N,NA,n-Undecanoic acid,NA,NA,"waxy, creamy, cheese, fatty, coconut",NA,NA,NA,NA,1466.8,NIST
Viridene,83327-43-9,NA,91748880,Viridene,NA,"1,3-cyclohexadiene, 1-(2E)-2-pentenyl-",NA,Hydrocarbon,NA,DCSE,NA,1163,Adams
Z-Jasmone,488-10-8,NA,NA,(Z)-Jasmone,$(Z)$-Jasmone,NA,"woody, herbal, floral, spicy, jasmine, celery",NA,NA,NA,NA,1392,NIST
