Compound,CAS,inchikey,CID,Pretty Name,LaTeX,Notes,Aroma,Chemical Family,Health,Group,RI Lab,RI Lit,Source
Nonanal<N->,124-19-6,GYHFUZHODSMOHU-UHFFFAOYSA-N,31289,1-Nonanal,NA,11.51,"fruity, fatty, citrus, green",Aliphatic Aldehyde,"antibacterial, carcinogenic, etc",14-15min,1104,1100,NIST
Nonanoic acid,112-05-0,FBUKVWPVBMHYJY-UHFFFAOYSA-N,8158,n-Nonanoic acid,NA,NA,"cheesy, fatty, waxy, green",Acid,NA,31-32min,1270,1281,NIST
o-Hydroxybiphenyl,90-43-7,NA,NA,o-Hydroxybiphenyl,$\mathit{o}$-Hydroxybiphenyl,NA,NA,NA,NA,NA,NA,NA,NA
Ocimene<(E)-beta->,3379-61-1,NA,NA,(E)-β-Ocimene,$(E)$-$\beta$-Ocimene,9.42,"citrus, green, terpene",Monoterpene Hydrocarbon,NA,10-11min,NA,1044,Adams
Ocimene<(Z)-beta->,3338-55-4,IHPKGUQCSIINRJ-NTMALXAHSA-N,NA,(Z)-β-Ocimene,$(Z)$-$\beta$-Ocimene,NA,"citrus, herbal, floral",NA,NA,NA,NA,1036,NIST
Ocimene<allo->,3016-19-1,GQVMHMFBVWSSPF-SOYUKNQTSA-N,NA,"(E,E)-Allo-ocimene","$(E,E)$-Allo-ocimene",NA,"terpenic, sweet, fresh, floral",NA,NA,NA,NA,NA,NA
Octadecanol<N->,112-92-5,GLDOVTGHNKAZLK-UHFFFAOYSA-N,8221,1-Octadecanol,NA,NA,oily,Alcohol,NA,DCSE,NA,2077,Adams
Octanal,124-13-0,NUJGJRNETVAIRJ-UHFFFAOYSA-N,454,n-Octanal,NA,NA,"citrus, fatty, green, lemon",Aliphatic Aldehyde,NA,11-12min,1002,1001,NIST
Octanoic acid,124-07-2,WWZKQHOCKIZLMA-UHFFFAOYSA-N,379,n-Octanoic acid,NA,14.37 Capyrlic acid,"cheesy, fatty, waxy",Acid,"antibacterial, septic",29-30min,1174,1175.9,NIST
Octen-3-one<1->,4312-99-6,KLTVSWGXIAYTHO-UHFFFAOYSA-N,61346,1-Octen-3-one,NA,NA,"earthy, herbal, mushroom, metal",Ketone,NA,DCSE,NA,978,J Phys Chem
p-Xylene,106-42-3,URLKBWYHVLBVBO-UHFFFAOYSA-N,7809,p-Xylene,$\mathit{p}$-Xylene,NA,sweet,Hydrocarbon,NA,7-8min,867,NA,NA
