sample,cultivar,plant_num,leaf,background,damaged,undamaged,leaf_area_px,percent_damage
J13,J,13,17,316031,0,152031,152031,0
J13,J,13,18,314893,19,153150,153169,0.012404598841802192
J13,J,13,19,312161,38,288745,288783,0.01315866931225176
J13,J,13,2,584808,69,320973,321042,0.02149251499803764
J13,J,13,20,417979,330,182635,182965,0.1803623643866313
J13,J,13,21,371392,23,229529,229552,0.01001951627517948
J13,J,13,22,519623,553,626118,626671,0.08824407065270293
J13,J,13,23,589311,29,369835,369864,0.007840719832154522
J13,J,13,24,175120,173,78207,78380,0.22071957131921408
J13,J,13,25,471118,658,314804,315462,0.20858296720365688
J13,J,13,26,647411,910,569211,570121,0.1596152395719505
J13,J,13,27,250813,7,124438,124445,0.005624974888504962
J13,J,13,28,263250,241,229475,229716,0.10491215239687265
J13,J,13,29,289564,524,202878,203402,0.25761791919450155
J13,J,13,3,211257,113,129438,129551,0.0872243363617417
J13,J,13,30,242812,35,195498,195533,0.017899791850991904
J13,J,13,31,301296,92,136957,137049,0.06712927493086415
J13,J,13,32,468153,61,246896,246957,0.024700656389573895
J13,J,13,33,545552,83,169475,169558,0.0489508014956534
J13,J,13,34,394618,39,320453,320492,0.012168790484629882
J13,J,13,35,482002,81,233027,233108,0.03474784220189783
J13,J,13,36,565733,156,149221,149377,0.10443374816738854
J13,J,13,37,654303,15463,45344,60807,25.429638035094644
J13,J,13,38,491342,6157,217611,223768,2.7515104930106182
J13,J,13,39,696781,139,548050,548189,0.02535621838453526
J13,J,13,4,222062,36,118710,118746,0.03031681067151736
J13,J,13,5,443851,295,250850,251145,0.11746202393039878
J13,J,13,6,452901,9,242086,242095,0.0037175488960945087
J13,J,13,7,208062,12,65922,65934,0.0182000182000182
J13,J,13,8,226629,81,211186,211267,0.03834010990831507
J13,J,13,9,151397,42,72639,72681,0.057786766830395846
J14,J,14,1,353797,2305,354280,356585,0.6464096919388084
J14,J,14,10,457558,28,524824,524852,0.005334837249357915
J14,J,14,12,190716,295,185794,186089,0.1585262965570238
J14,J,14,13,188370,67,96677,96744,0.0692549408748863
J14,J,14,14,629846,29,630461,630490,0.004599597138733366
J14,J,14,15,301389,53,259087,259140,0.02045226518484217
J14,J,14,16,241854,30,164790,164820,0.018201674554058973
J14,J,14,17,600799,53,248353,248406,0.021336038581998822
J14,J,14,18,212460,41,165136,165177,0.0248218577647009
J14,J,14,19,258828,103,354253,354356,0.029066814164286765
J14,J,14,2,509554,335,200493,200828,0.16680940904654729
J14,J,14,20,364024,804,248356,249160,0.32268421897575855
J14,J,14,21,480271,858,511919,512777,0.16732419745815433
J14,J,14,22,203062,1,114281,114282,8.750284384242488e-4
J14,J,14,23,372789,289,192737,193026,0.1497207630060199
J14,J,14,24,324513,185,108280,108465,0.1705619324205965
J14,J,14,25,243664,429,206567,206996,0.20725038164988696
J14,J,14,26,164086,25,168767,168792,0.014811128489501871
J14,J,14,27,301546,37,266433,266470,0.013885240364769015
