compound,sample,cultivar,plant_num,conc,mg_tea,conc_ug_mg,mean_leaf_area_px,mean_percent_damage,n_leaves,twister_damage,density_treatment,density_start,density_end
Epicatechin gallate,J5,J,5,266.08,20.2,13.172277227722772,238921.3777777778,0.07439014025603832,45,0.022745098039215685,0.5,0.5294117647058824,0.17647058823529413
Catechin gallate,J5,J,5,NA,20.2,NA,238921.3777777778,0.07439014025603832,45,0.022745098039215685,0.5,0.5294117647058824,0.17647058823529413
L-theanine,J4,J,4,93.403,20.9,4.469043062200957,339624.45,2.86192535099387,40,0.036306235201262825,1,1,0.42857142857142855
Gallic acid,J4,J,4,NA,20.9,NA,339624.45,2.86192535099387,40,0.036306235201262825,1,1,0.42857142857142855
Gallocatechin,J4,J,4,89.661,20.9,4.29,339624.45,2.86192535099387,40,0.036306235201262825,1,1,0.42857142857142855
Theobromine,J4,J,4,31.681,20.9,1.5158373205741629,339624.45,2.86192535099387,40,0.036306235201262825,1,1,0.42857142857142855
Paraxanthine,J4,J,4,10.099,20.9,0.4832057416267943,339624.45,2.86192535099387,40,0.036306235201262825,1,1,0.42857142857142855
Theophylline,J4,J,4,NA,20.9,NA,339624.45,2.86192535099387,40,0.036306235201262825,1,1,0.42857142857142855
Catechin,J4,J,4,10.252,20.9,0.49052631578947375,339624.45,2.86192535099387,40,0.036306235201262825,1,1,0.42857142857142855
Epigallocatechin,J4,J,4,378.95,20.9,18.13157894736842,339624.45,2.86192535099387,40,0.036306235201262825,1,1,0.42857142857142855
Caffeine,J4,J,4,759.4,20.9,36.334928229665074,339624.45,2.86192535099387,40,0.036306235201262825,1,1,0.42857142857142855
Epigallocatechin gallate,J4,J,4,1568.1,20.9,75.02870813397129,339624.45,2.86192535099387,40,0.036306235201262825,1,1,0.42857142857142855
Epicatechin,J4,J,4,173.67,20.9,8.30956937799043,339624.45,2.86192535099387,40,0.036306235201262825,1,1,0.42857142857142855
Gallocatechin gallate,J4,J,4,8.6178,20.9,0.41233492822966517,339624.45,2.86192535099387,40,0.036306235201262825,1,1,0.42857142857142855
Epicatechin gallate,J4,J,4,287.02,20.9,13.733014354066986,339624.45,2.86192535099387,40,0.036306235201262825,1,1,0.42857142857142855
Catechin gallate,J4,J,4,NA,20.9,NA,339624.45,2.86192535099387,40,0.036306235201262825,1,1,0.42857142857142855
L-theanine,J3,J,3,65.725,20.1,3.2699004975124373,260037.56818181818,2.0295319153938793,44,0.062027887058263724,0,0,0.05
Gallic acid,J3,J,3,NA,20.1,NA,260037.56818181818,2.0295319153938793,44,0.062027887058263724,0,0,0.05
Gallocatechin,J3,J,3,106.95,20.1,5.320895522388059,260037.56818181818,2.0295319153938793,44,0.062027887058263724,0,0,0.05
