sample,cultivar,plant_num,leaf,background,damaged,undamaged,leaf_area_px,percent_damage
Q6,Q,6,8,240074,3456,422040,425496,0.8122285520897964
Q6,Q,6,9,305808,3276,411980,415256,0.7889109368678598
Q6,Q,6,T,332823,3158,475423,478581,0.659867399666932
Q7,Q,7,1,278159,2994,213131,216125,1.3853094274146907
Q7,Q,7,10,292130,1795,236451,238246,0.7534229325990783
Q7,Q,7,11,287508,274,228628,228902,0.11970188115438048
Q7,Q,7,12,300039,1846,384062,385908,0.47835235341065746
Q7,Q,7,13,331285,900,387062,387962,0.23198148272253466
Q7,Q,7,14,252911,3564,320165,323729,1.100920831930411
Q7,Q,7,15,251224,2138,276206,278344,0.7681142758600868
Q7,Q,7,2,258547,764,311325,312089,0.24480196354245104
Q7,Q,7,3,75885,1556,87015,88571,1.7567826941098101
Q7,Q,7,4,211451,5288,246933,252221,2.09657403626185
Q7,Q,7,5,280809,8668,363097,371765,2.3315804338762387
Q7,Q,7,6,154029,174,86205,86379,0.20143784947730353
Q7,Q,7,7,224536,965,75899,76864,1.255464196502914
Q7,Q,7,8,316068,530,420552,421082,0.12586622083109703
Q7,Q,7,9,274280,2125,296229,298354,0.7122411631819919
Q7,Q,7,T,210761,535,188103,188638,0.2836119975826716
Q8,Q,8,1,602361,1779,662060,663839,0.26798666544147
Q8,Q,8,10,214066,1245,154834,156079,0.7976729733019817
Q8,Q,8,11,186552,283,228314,228597,0.12379865002602834
Q8,Q,8,2,227111,1892,129667,131559,1.4381380217240936
Q8,Q,8,3,414302,2253,341013,343266,0.6563423117931866
Q8,Q,8,4,301990,806,381167,381973,0.2110096786945674
Q8,Q,8,5,203297,984,271243,272227,0.3614630437098451
Q8,Q,8,6,252761,249,144354,144603,0.17219559760170952
Q8,Q,8,7,79954,465,76661,77126,0.6029095246739102
Q8,Q,8,8,246514,2905,213472,216377,1.342564135744557
Q8,Q,8,9,157175,921,218068,218989,0.42056906967929897
Q8,Q,8,T,283921,1155,293238,294393,0.3923326981280125
Q9,Q,9,1,742659,3544,250542,254086,1.3948033343041333
Q9,Q,9,10,550939,2247,395546,397793,0.5648666517510363
Q9,Q,9,11,220229,698,113441,114139,0.6115350581308755
Q9,Q,9,12,345492,5693,232015,237708,2.3949551550641965
Q9,Q,9,13,107481,453,42221,42674,1.0615362984487042
Q9,Q,9,14,244445,1062,192461,193523,0.5487719805914543
Q9,Q,9,15,455471,4559,399941,404500,1.127070457354759
Q9,Q,9,2,323144,15080,174029,189109,7.974237080202423
Q9,Q,9,3,325973,3490,182790,186280,1.8735237277217092
Q9,Q,9,4,221099,462,84841,85303,0.5415987714382847
Q9,Q,9,5,251729,536,54137,54673,0.9803742249373548
Q9,Q,9,6,222856,477,83069,83546,0.5709429535824576
Q9,Q,9,7,236029,2176,68197,70373,3.0920949796086568
Q9,Q,9,8,260352,16010,157813,173823,9.210518746080783
Q9,Q,9,9,464418,1313,389570,390883,0.3359061407121824
Q9,Q,9,T,566194,760,293017,293777,0.2586996259067252
